commonName,lat,lon,NbDocks
"River Street , Clerkenwell",51.529163,-0.10997,19
"Christopher Street, Liverpool Street",51.521283,-0.084605,32
"St. Chad's Street, King's Cross",51.530059,-0.120973,23
"Sedding Street, Sloane Square",51.49313,-0.156876,27
"Broadcasting House, Marylebone",51.518117,-0.144228,18
"Charlbert Street, St. John's Wood",51.5343,-0.168074,16
"New Globe Walk, Bankside",51.507385,-0.09644,19
"Park Street, Bankside",51.505974,-0.092754,18
"Brunswick Square, Bloomsbury",51.523951,-0.122502,24
"Malet Street, Bloomsbury",51.52168,-0.130431,49
"Scala Street, Fitzrovia",51.519914,-0.136039,21
"Argyle Street, Kings Cross",51.529416,-0.123944,45
"Great Russell Street, Bloomsbury",51.517727,-0.127854,26
"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,21
"Hatton Wall, Holborn",51.521661,-0.109006,26
"Drury Lane, Covent Garden",51.51477,-0.122219,27
"Taviton Street, Bloomsbury",51.52505,-0.131161,30
"Drummond Street , Euston",51.527326,-0.136052,28
"Northington Street , Holborn",51.522264,-0.114079,19
"Red Lion Square, Holborn",51.519435,-0.119123,16
"British Museum, Bloomsbury",51.51908,-0.124678,35
"Doric Way , Somers Town",51.528833,-0.13225,50
"Ampton Street , Clerkenwell",51.52728,-0.118295,21
"Bouverie Street, Temple",51.513821,-0.107927,33
"Bolsover Street, Fitzrovia",51.523518,-0.143613,19
"Windsor Terrace, Hoxton",51.529154,-0.093421,24
"Fanshaw Street, Hoxton",51.529537,-0.083353,36
"Leonard Circus , Shoreditch",51.524696,-0.084439,43
"Central House, Aldgate",51.515231,-0.07015,18
"Pancras Road, King's Cross",51.534123,-0.129386,16
"Shoreditch High Street, Shoreditch",51.526377,-0.07813,41
"Commercial Street, Shoreditch",51.52127,-0.075578,16
"Pindar Street, Liverpool Street",51.520955,-0.083493,24
"Wenlock Road , Hoxton",51.530991,-0.093903,28
"Crawford Street, Marylebone",51.52026,-0.157183,18
"Bruton Street, Mayfair",51.510736,-0.144165,21
"Boston Place, Marylebone",51.522511,-0.162298,26
"Godliman Street, St. Paul's",51.512484,-0.099141,25
"Curzon Street, Mayfair",51.507069,-0.145904,16
"Finsbury Library , Finsbury",51.526717,-0.104298,29
"Roscoe Street, St. Luke's",51.522954,-0.094934,18
"Grafton Street, Mayfair",51.509992,-0.143495,18
"Golden Lane, Barbican",51.521747,-0.094475,27
"Finsbury Circus, Liverpool Street",51.517075,-0.086685,33
"Paddington Street, Marylebone",51.520583,-0.154701,16
"Guilford Street , Bloomsbury",51.523346,-0.120202,32
"New Inn Yard, Shoreditch",51.524526,-0.079248,20
"Great Dover Street, The Borough",51.497382,-0.089446,33
"Cotton Garden Estate, Kennington",51.490757,-0.106323,24
"Murray Grove , Hoxton",51.53089,-0.089782,27
"William IV Street, Strand",51.509462,-0.124749,26
"Gower Place , Euston",51.525227,-0.135188,17
"Holborn Circus, Holborn",51.51795,-0.108657,40
"Hatton Garden, Holborn",51.518825,-0.108028,28
"Theobald's Road , Holborn",51.520596,-0.116688,26
"Euston Road, Euston",51.526236,-0.134407,24
"Calshot Street , King's Cross",51.53136,-0.117069,24
"Newgate Street , St. Paul's",51.515418,-0.09885,34
"Farringdon Lane, Clerkenwell",51.52352,-0.10834,16
"Old Street Station, St. Luke's",51.525615,-0.088532,34
"Torrens Street, Angel",51.532199,-0.10548,19
"Longford Street, The Regent's Park",51.525595,-0.144083,21
"Russell Square Station, Bloomsbury",51.523418,-0.124121,26
"Sadlers Sports Centre, Finsbury",51.524868,-0.099489,17
"Arundel Street, Temple",51.511726,-0.113855,18
"Webber Street , Southwark",51.500693,-0.102091,45
"Great Titchfield Street, Fitzrovia",51.520253,-0.141327,19
"Panton Street, West End",51.509639,-0.13151,21
"Breams Buildings, Holborn",51.515937,-0.111778,25
"Tanner Street, Bermondsey",51.500647,-0.0786,41
"Sancroft Street, Vauxhall",51.489479,-0.115156,24
"Bayley Street , Bloomsbury",51.518587,-0.132053,25
"Tavistock Place, Bloomsbury",51.52625,-0.123509,19
"Harrington Square 1, Camden Town",51.533019,-0.139174,27
"Walnut Tree Walk, Vauxhall",51.493686,-0.111014,20
"Borough Road, Elephant & Castle",51.498898,-0.10044,41
"Cloudesley Road, Angel",51.534408,-0.109025,37
"Bricklayers Arms, Borough",51.495061,-0.085814,28
"Aldersgate Street, Barbican",51.520841,-0.09734,15
"Falkirk Street, Hoxton",51.53095,-0.078505,26
"Hampstead Road, Euston",51.525542,-0.138231,54
"Old Quebec Street, Marylebone",51.514577,-0.158264,16
"Albert Embankment, Vauxhall",51.490435,-0.122806,24
"Queen Street 1, Bank",51.511553,-0.09294,22
"Jewry Street, Aldgate",51.513406,-0.076793,17
"Crosswall, Tower",51.511594,-0.077121,34
"Woodstock Street, Mayfair",51.514105,-0.147301,21
"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317,20
"Abbey Orchard Street, Westminster",51.498125,-0.132102,29
"Park Lane , Hyde Park",51.510017,-0.157275,28
"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963,22
"Braham Street, Aldgate",51.514233,-0.073537,34
"Little Argyll Street, West End",51.514499,-0.141423,21
"Lollard Street, Vauxhall",51.49288,-0.114934,25
"Rochester Row, Westminster",51.495827,-0.135478,13
"Bath Street, St. Luke's",51.525893,-0.090847,18
"The Guildhall, Guildhall",51.515735,-0.09308,17
"Baker Street, Marylebone",51.518913,-0.156166,22
"Norton Folgate, Liverpool Street",51.521113,-0.078869,23
"St. John Street, Finsbury",51.52836,-0.104724,18
"Borough High Street, The Borough",51.500694,-0.094524,21
"Museum of London, Barbican",51.517821,-0.096496,52
"Wood Street, Guildhall",51.517008,-0.093885,17
"Tower Gardens , Tower",51.509506,-0.075459,24
"Eversholt Street , Camden Town",51.533005,-0.136792,16
"Bethnal Green Road, Shoreditch",51.523648,-0.074754,38
"Clerkenwell Green, Clerkenwell",51.52326,-0.104708,21
"Queen Victoria Street, St. Paul's",51.511961,-0.097441,32
"Green Street, Mayfair",51.512276,-0.157436,19
"Lambeth Road, Vauxhall",51.494881,-0.117974,18
"Finsbury Square , Moorgate",51.520962,-0.085634,33
"Chapel Place, Marylebone",51.515308,-0.147203,29
"Pont Street, Knightsbridge",51.496886,-0.161203,24
"Kennington Cross, Kennington",51.48894,-0.111435,47
"Portugal Street, Holborn",51.514943,-0.116146,16
"Tachbrook Street, Victoria",51.492111,-0.138364,16
"Holy Trinity Brompton, Knightsbridge",51.497056,-0.168917,28
"Hampton Street, Walworth",51.49217,-0.101536,21
"Waterloo Station 3, Waterloo",51.503791,-0.112824,35
"New Kent Road, The Borough",51.494436,-0.092921,33
"Guildhouse Street, Victoria",51.492345,-0.141334,16
"Southampton Place, Holborn",51.517606,-0.121328,20
"Sloane Avenue, Knightsbridge",51.493184,-0.167894,27
"Seville Street, Knightsbridge",51.501855,-0.159237,27
"Eccleston Place, Victoria",51.49395,-0.147624,19
"Porchester Place, Paddington",51.514746,-0.165164,18
"Hardwick Street, Clerkenwell",51.527842,-0.108068,30
"Waterloo Road, South Bank",51.50486,-0.113001,15
"Worship Street, Shoreditch",51.521668,-0.079608,51
"Ashley Place, Victoria",51.49616,-0.140947,25
"Warwick Square, Pimlico",51.489856,-0.141923,19
"North Audley Street, Mayfair",51.512911,-0.153645,17
"Belgrave Square, Belgravia",51.499412,-0.152317,21
"Bell Street , Marylebone",51.522029,-0.165842,18
"Portland Place, Marylebone",51.520715,-0.145211,34
"Nutford Place, Marylebone",51.516517,-0.164393,18
"Claremont Square, Angel",51.531666,-0.109914,18
"Rampayne Street, Pimlico",51.489975,-0.132845,21
"Hyde Park Corner, Hyde Park",51.503117,-0.15352,36
"Bankside Mix, Bankside",51.505817,-0.100186,60
"Hop Exchange, The Borough",51.504627,-0.091773,56
"Milroy Walk, South Bank",51.507244,-0.106237,30
"Union Street, The Borough",51.503688,-0.098497,17
"Stamford Street, South Bank",51.505569,-0.111606,27
"Great Tower Street, Monument",51.510484,-0.082989,24
"Dorset Square, Marylebone",51.522596,-0.161113,16
"Leman Street, Aldgate",51.512363,-0.069542,37
"West Smithfield Rotunda, Farringdon",51.518218,-0.100791,15
"Margery Street, Clerkenwell",51.526599,-0.112432,19
"Grosvenor Crescent, Belgravia",51.501352,-0.153194,18
"Mallory Street, Marylebone",51.525051,-0.166304,20
"Denyer Street, Knightsbridge",51.493583,-0.165101,30
"Hinde Street, Marylebone",51.516814,-0.151926,21
"Cadogan Place, Knightsbridge",51.494645,-0.158105,34
"Wellington Arch, Hyde Park",51.50274,-0.149569,36
"Endsleigh Gardens, Euston",51.526838,-0.130504,32
"Moorfields, Moorgate",51.519069,-0.088285,54
"Wormwood Street, Liverpool Street",51.516154,-0.082422,16
"Chelsea Green, Chelsea",51.490664,-0.166485,15
"Knightsbridge, Hyde Park",51.502757,-0.155349,43
"Rodney Road , Walworth",51.491484,-0.09022,24
"Charles II Street, West End",51.508446,-0.131961,24
"Great Percy Street, Clerkenwell",51.528915,-0.11548,23
"St. James's Square, St. James's",51.507424,-0.134621,40
"Whitehall Place, Strand",51.506543,-0.123179,46
"Poured Lines, Bankside",51.506692,-0.103137,31
"Carey Street, Holborn",51.51501,-0.112753,16
"Kennington Road, Vauxhall",51.495718,-0.110889,36
"Fashion Street, Whitechapel",51.51838,-0.073438,30
"Warren Street Station, Euston",51.524438,-0.138019,26
"Colombo Street, Southwark",51.505459,-0.105692,14
"Beaumont Street, Marylebone",51.522008,-0.151359,23
"Gloucester Street, Pimlico",51.490962,-0.139625,25
"Earnshaw Street , Covent Garden",51.516118,-0.128585,18
"Berry Street, Clerkenwell",51.522853,-0.099994,41
"St. John's Wood Church, The Regent's Park",51.530529,-0.167515,50
"Triangle Car Park, Hyde Park",51.506451,-0.170279,27
"Harper Road, The Borough",51.498597,-0.096191,42
"Royal Avenue 1, Chelsea",51.489932,-0.162727,10
"Brushfield Street, Liverpool Street",51.518908,-0.079249,34
"Chadwell Street, Angel",51.530515,-0.106408,18
"Houghton Street, Strand",51.51362,-0.116764,15
"Westminster University, Marylebone",51.522481,-0.154907,16
"Bourne Street, Belgravia",51.490959,-0.153233,16
"LSBU (Borough Road), Elephant & Castle",51.498744,-0.103132,35
"St. Mary Axe, Aldgate",51.514225,-0.08066,21
"Tysoe Street, Clerkenwell",51.526443,-0.109256,20
"Southwick Street, Paddington",51.515953,-0.169249,17
"Regency Street, Westminster",51.49206,-0.132224,22
"Belgrave Road, Victoria",51.493204,-0.144132,29
"Empire Square, The Borough",51.500823,-0.08974,46
"Baylis Road, Waterloo",51.501444,-0.110699,22
"Belvedere Road 1, South Bank",51.506133,-0.114686,38
"Barbican Centre, Barbican",51.520044,-0.092176,19
"Lower Thames Street, Monument",51.509301,-0.084985,24
"Tooley Street, Bermondsey",51.503493,-0.07962,27
"Royal Avenue 2, Chelsea",51.490083,-0.162418,10
"Smith Square, Westminster",51.495805,-0.127575,18
"Kingsway, Covent Garden",51.514409,-0.118478,16
"Lambeth North Station, Waterloo",51.49914,-0.112031,20
"Bedford Way, Bloomsbury",51.523673,-0.128377,23
"Elizabeth Bridge, Victoria",51.492369,-0.147478,34
"South Audley Street, Mayfair",51.50923,-0.151289,15
"St Mary's Hospital, Paddington",51.518268,-0.171103,20
"Montpelier Street, Knightsbridge",51.498884,-0.165471,16
"Swan Street, The Borough",51.500296,-0.092762,27
"Geraldine Street, Elephant & Castle",51.496127,-0.106,17
"Curlew Street, Shad Thames",51.502279,-0.074189,21
"Vincent Square, Westminster",51.493985,-0.136928,19
"Marylebone Lane, Marylebone",51.514759,-0.148105,24
"Albert Gate, Hyde Park",51.502953,-0.158456,34
"Rathbone Street, Fitzrovia",51.518162,-0.135025,16
"Long Lane , Bermondsey",51.499075,-0.085666,20
"Embankment (Savoy), Strand",51.509631,-0.119047,41
"Black Prince Road, Vauxhall",51.490867,-0.116911,19
"Foley Street, Fitzrovia",51.519181,-0.140485,24
"Wells Street, Fitzrovia",51.517344,-0.138072,38
"Tyers Gate, Bermondsey",51.500889,-0.083159,36
"The Tennis Courts, The Regent's Park",51.525367,-0.153463,16
"Warwick Row, Westminster",51.497998,-0.14296,21
"Dickens Square, Borough",51.496791,-0.093913,32
"Sackville Street, Mayfair",51.510048,-0.138846,18
"Baldwin Street, St. Luke's",51.527025,-0.088542,21
"Queen Mother Sports Centre, Victoria",51.493573,-0.139956,26
"Bermondsey Street, Bermondsey",51.497855,-0.081608,24
"Palissy Street, Shoreditch",51.526293,-0.073955,26
"Clifton Street, Shoreditch",51.523196,-0.083067,24
"Ontario Street, Elephant & Castle",51.49652,-0.101384,15
"St. Martin's Street, West End",51.509087,-0.129697,18
"Graham Street, Angel",51.532661,-0.099981,26
"New North Road 2, Hoxton",51.53114,-0.086016,22
"Bunhill Row, Moorgate",51.520858,-0.089887,30
"Concert Hall Approach 1, South Bank",51.505044,-0.115851,10
"Tavistock Street, Covent Garden",51.511968,-0.120718,33
"Concert Hall Approach 2, South Bank",51.504942,-0.115533,18
"Wellington Street , Strand",51.511756,-0.119643,24
"Risinghill Street, Angel",51.533319,-0.111781,25
"Bank of England Museum, Bank",51.514441,-0.087587,16
"Craven Street, Strand",51.508103,-0.126021,23
"Goswell Road (City Uni), Finsbury",51.528246,-0.101026,17
"Lower Marsh, Waterloo",51.500139,-0.113936,17
"Grosvenor Square, Mayfair",51.51217,-0.150481,17
"St. George Street, Mayfair",51.51196,-0.142783,18
"Macclesfield Rd, St Lukes",51.529423,-0.097122,28
"Greycoat Street , Westminster",51.494591,-0.134234,17
"Northumberland Avenue, Strand",51.506767,-0.123702,37
"Howland Street, Fitzrovia",51.520994,-0.139016,30
"High Holborn , Covent Garden",51.516226,-0.124826,20
"Butler Place, Westminster",51.497829,-0.13544,18
"Howick Place, Westminster",51.496753,-0.138733,27
"Waterloo Station 2, Waterloo",51.503919,-0.113426,48
"Store Street, Bloomsbury",51.519572,-0.13214,32
"City Road, Angel",51.530344,-0.100168,47
"Millennium Hotel, Mayfair",51.510919,-0.151126,27
"Harrowby Street, Marylebone",51.517372,-0.164207,16
"Harriet Street, Knightsbridge",51.500241,-0.15934,25
"King Edward Walk, Waterloo",51.49775,-0.10988,22
"Waterloo Station 1, Waterloo",51.504027,-0.113864,36
"Millbank Tower, Pimlico",51.491884,-0.125674,24
"Waterloo Bridge, South Bank",51.505354,-0.113656,15
"Stanhope Gate, Mayfair",51.506864,-0.150666,21
"Charlotte Street, Fitzrovia",51.51953,-0.135777,14
"Farm Street, Mayfair",51.509351,-0.147449,15
"Fire Brigade Pier, Vauxhall",51.493699,-0.121394,30
"Southampton Street, Strand",51.510701,-0.121723,14
"Buxton Street 1, Shoreditch",51.521776,-0.068856,41
"Clifford Street, Mayfair",51.510662,-0.142345,17
"Snow Hill, Farringdon",51.517334,-0.103604,15
"Cadogan Gardens, Chelsea",51.492462,-0.159919,15
"Shouldham Street, Marylebone",51.51809,-0.163609,16
"Brick Lane Market, Shoreditch",51.522617,-0.071653,24
"George Street, Marylebone",51.517703,-0.154106,27
"Columbia Road, Shoreditch",51.528187,-0.075375,24
"George Place Mews, Marylebone",51.516892,-0.158249,16
"Sun Street, Liverpool Street",51.520009,-0.083935,24
"Strata, Elephant & Castle",51.493146,-0.099828,41
"Edgware Road Station, Marylebone",51.519968,-0.169774,64
"Southwark Station 2, Southwark",51.504044,-0.104778,45
"Eaton Square (South), Belgravia",51.494561,-0.153933,31
"Ebury Bridge, Pimlico",51.490491,-0.149186,29
"Vincent Street, Pimlico",51.493072,-0.129925,17
"Cheapside, Bank",51.51397,-0.09294,43
"Crinan Street, King's Cross",51.534474,-0.122203,20
"Wren Street, Holborn",51.524564,-0.116279,33
"Kennington Station, Kennington",51.488852,-0.105593,23
"Red Lion Street, Holborn",51.51824,-0.11655,36
"Killick Street, King's Cross",51.5338,-0.118677,22
"Sail Street, Vauxhall",51.495656,-0.114605,24
"St. Katharine's Way, Tower",51.505697,-0.070542,24
"Granby Street, Shoreditch",51.525645,-0.069543,37
"Bell Lane, Liverpool Street",51.517475,-0.075855,23
"Fournier Street, Whitechapel",51.519362,-0.074431,18
"Fore Street Avenue, Guildhall",51.517842,-0.090075,19
"Portman Square, Marylebone",51.516204,-0.155525,17
"Clarges Street, Mayfair",51.507326,-0.145827,16
"Wellington Row, Bethnal Green",51.528222,-0.069743,33
"Hoxton Station, Hoxton",51.531091,-0.075901,22
"Albany Street, The Regent's Park",51.528302,-0.144466,27
"Percival Street, Finsbury",51.526153,-0.102208,22
"New Fetter Lane, Holborn",51.517428,-0.107987,21
"Westminster Bridge Road, Elephant & Castle",51.498386,-0.107913,26
"Gaywood  Street, Elephant & Castle",51.49605,-0.104193,45
"King Edward Street, St Pauls",51.51601,-0.0985,20
"Page Street, Westminster",51.493978,-0.127554,24
"Bury Place, Holborn",51.51742,-0.123189,21
"Somerset House, Strand",51.509943,-0.117619,41
"Pitfield Street Central, Hoxton",51.53213,-0.08299,30
"Eagle Wharf Road, Hoxton",51.53356,-0.09315,45
"Queen Street 2, Bank",51.511246,-0.093051,36
"New Cavendish Street, Marylebone",51.519167,-0.147983,18
"Abingdon Green, Westminster",51.49764,-0.125972,20
"Monument Street, Monument",51.50964,-0.08497,22
"Hoxton Street, Hoxton",51.52959,-0.0801,27
"Greenberry Street, St.John's Wood",51.53256,-0.16862,26
"Northdown Street, King's Cross",51.531066,-0.11934,21
"Kingsway Southbound, Strand",51.513875,-0.117774,33
"Seymour Place, Marylebone",51.520331,-0.163667,29
"Archbishop's Park, Waterloo",51.498241,-0.117495,23
"Great Suffolk Street, The Borough",51.501732,-0.100292,21
"Buckingham Gate, Westminster",51.498865,-0.137424,16
"Blackfriars Station, St. Paul's",51.511934,-0.103078,35
"Harris Academy, Bermondsey",51.492668,-0.07235,18
"Chicheley Street, South Bank",51.502698,-0.116747,24
"St. Bride Street, Holborn",51.515059,-0.105344,25
"Snowsfields, London Bridge",51.502153,-0.083632,31
"Walworth Square, Walworth",51.491327,-0.096518,24
"Duke Street Hill, London Bridge",51.506304,-0.087262,21
"Newton Street, Covent Garden",51.516128,-0.120909,24
"Broadley Terrace, Marylebone",51.524561,-0.165668,18
"Storey's Gate, Westminster",51.500703,-0.129698,21
"Tallis Street, Temple",51.511891,-0.107349,24
"Houndsditch, Aldgate",51.514449,-0.077178,28
"Victoria & Albert Museum, South Kensington",51.495898,-0.173009,30
"Blackfriars Road, Southwark",51.505461,-0.10454,42
"Cromer Street, Bloomsbury",51.528279,-0.119558,28
"Euston Square Gardens, Euston",51.527068,-0.131861,30
"Coram Street, Bloomsbury",51.524,-0.126409,29
"Ossulston Street, Somers Town",51.5293,-0.128279,30
"Birkenhead Street, King's Cross",51.530199,-0.122299,27
"Kings Gate House, Westminster",51.497698,-0.137598,24
"Lavington Street, Bankside",51.505224,-0.098031,29
"Southwark Street, Bankside",51.505409,-0.098341,23
"Good's Way, King's Cross",51.534667,-0.125078,27
"Lincoln's Inn Fields, Holborn",51.516277,-0.118272,28
"Tate Modern, Bankside",51.506725,-0.098807,30
"Lambeth Palace Road, Waterloo",51.500089,-0.116628,35
"Westminster Pier, Westminster",51.501513,-0.123823,27
"Belvedere Road 2, South Bank",51.50621,-0.114842,38
"Victory Place, Walworth",51.492807,-0.091938,24
"Allington Street, Victoria",51.496863,-0.142943,28
"Farringdon Street, Holborn",51.516785,-0.104947,25
"Fore Street, Guildhall",51.518093,-0.091401,25
"Sea Containers, South Bank",51.508033,-0.106823,30
"Tower Wharf, Bermondsey",51.500845,-0.074704,20
"Temple Gardens, Temple",51.510981,-0.108322,24
"Crimscott Street, Bermondsey",51.495598,-0.078893,19
"Brandon Street, Walworth",51.489102,-0.091548,22
"Strand, Strand",51.512582,-0.115057,35
"Waterloo Place, St. James's",51.506633,-0.131773,20
"Horseferry Road, Westminster",51.494816,-0.130458,16
"Broadwick Street, Soho",51.513684,-0.13558,18
"Golden Square, Soho",51.511897,-0.137043,18
"Wardour Street, Soho",51.512515,-0.133201,16
"Frith Street, Soho",51.513103,-0.131213,18
"Moor Street, Soho",51.513527,-0.13011,16
"Soho Square , Soho",51.515631,-0.132328,57
"Upper Grosvenor Street, Mayfair",51.51013,-0.155757,18
"Park Lane, Mayfair",51.505426,-0.150817,18
"Pall Mall East, West End",51.50777,-0.130699,22
"Green Park Station, Mayfair",51.506613,-0.142844,28
